Part Type,Hole,Feature,Nominal,LSL,USL,Tolerance
Mixing Block,H1,Inner,4.0,3.5,4.5,0.5
Mixing Block,H1,Outer,9.0,8.5,9.5,0.5
Mixing Block,H2,Inner,4.0,3.5,4.5,0.5
Mixing Block,H2,Outer,9.0,8.5,9.5,0.5
Mixing Block,H3,Inner,6.2,5.7,6.7,0.5
Mixing Block,H3,Outer,9.0,8.5,9.5,0.5
Mixing Block,H4,Inner,9.0,8.5,9.5,0.5
Mixing Block,H4,Outer,12.8,12.3,13.3,0.5
Gas/Water Block,H1,Inner,5.9,5.5,6.4,0.4
Gas/Water Block,H2,Inner,6.15,5.65,6.65,0.5
Gas/Water Block,H3,Inner,6.0,5.5,6.5,0.5
Gas/Water Block,H4,Inner,6.3,5.8,6.8,0.5
Gas/Water Block,H5,Inner,6.1,5.6,6.6,0.5
